X_Coordinate,Y_Coordinate,GlacierName,GlacierID
-218675,-2293175,Alison Glacer,A
-218675,-2293925,Alison Glacer,A
-218675,-2294675,Alison Glacer,A
-218675,-2295425,Alison Glacer,A
-217925,-2253425,Alison Glacer,A
-217925,-2254175,Alison Glacer,A
-217925,-2254925,Alison Glacer,A
-217925,-2255675,Alison Glacer,A
-217925,-2256425,Alison Glacer,A
-217925,-2257175,Alison Glacer,A
-217925,-2257925,Alison Glacer,A
-217925,-2258675,Alison Glacer,A
-217925,-2259425,Alison Glacer,A
-217925,-2260175,Alison Glacer,A
-217925,-2260925,Alison Glacer,A
-217925,-2261675,Alison Glacer,A
-217925,-2262425,Alison Glacer,A
-217925,-2263175,Alison Glacer,A
-217925,-2263925,Alison Glacer,A
-217925,-2264675,Alison Glacer,A
-217925,-2265425,Alison Glacer,A
-217925,-2266175,Alison Glacer,A
-217925,-2266925,Alison Glacer,A
-217925,-2268425,Alison Glacer,A
-217925,-2269175,Alison Glacer,A
-217925,-2269925,Alison Glacer,A
-217925,-2270675,Alison Glacer,A
-217925,-2271425,Alison Glacer,A
-217925,-2272175,Alison Glacer,A
-217925,-2272925,Alison Glacer,A
-217925,-2273675,Alison Glacer,A
-217925,-2274425,Alison Glacer,A
-217925,-2284175,Alison Glacer,A
-217925,-2284925,Alison Glacer,A
-217925,-2285675,Alison Glacer,A
-217925,-2286425,Alison Glacer,A
-217925,-2293175,Alison Glacer,A
-217925,-2293925,Alison Glacer,A
-217925,-2294675,Alison Glacer,A
-217925,-2295425,Alison Glacer,A
-217925,-2296175,Alison Glacer,A
-217175,-2252675,Alison Glacer,A
-217175,-2253425,Alison Glacer,A
-217175,-2254175,Alison Glacer,A
-217175,-2254925,Alison Glacer,A
-217175,-2255675,Alison Glacer,A
-217175,-2256425,Alison Glacer,A
-217175,-2257175,Alison Glacer,A
-217175,-2257925,Alison Glacer,A
-217175,-2258675,Alison Glacer,A
-217175,-2259425,Alison Glacer,A
-217175,-2260175,Alison Glacer,A
-217175,-2260925,Alison Glacer,A
-217175,-2261675,Alison Glacer,A
-217175,-2262425,Alison Glacer,A
-217175,-2263175,Alison Glacer,A
-217175,-2263925,Alison Glacer,A
-217175,-2264675,Alison Glacer,A
-217175,-2265425,Alison Glacer,A
-217175,-2266175,Alison Glacer,A
-217175,-2268425,Alison Glacer,A
-217175,-2269175,Alison Glacer,A
-217175,-2269925,Alison Glacer,A
-217175,-2270675,Alison Glacer,A
-217175,-2271425,Alison Glacer,A
-217175,-2272175,Alison Glacer,A
-217175,-2272925,Alison Glacer,A
-217175,-2273675,Alison Glacer,A
-217175,-2274425,Alison Glacer,A
-217175,-2284175,Alison Glacer,A
-217175,-2284925,Alison Glacer,A
-217175,-2285675,Alison Glacer,A
-217175,-2293175,Alison Glacer,A
-217175,-2293925,Alison Glacer,A
-217175,-2294675,Alison Glacer,A
-217175,-2295425,Alison Glacer,A
-217175,-2296175,Alison Glacer,A
-217175,-2296925,Alison Glacer,A
-217175,-2297675,Alison Glacer,A
-217175,-2298425,Alison Glacer,A
-217175,-2299175,Alison Glacer,A
-216425,-2252675,Alison Glacer,A
-216425,-2253425,Alison Glacer,A
-216425,-2254175,Alison Glacer,A
-216425,-2254925,Alison Glacer,A
-216425,-2255675,Alison Glacer,A
-216425,-2257175,Alison Glacer,A
-216425,-2257925,Alison Glacer,A
-216425,-2258675,Alison Glacer,A
-216425,-2259425,Alison Glacer,A
-216425,-2260175,Alison Glacer,A
-216425,-2261675,Alison Glacer,A
-216425,-2262425,Alison Glacer,A
-216425,-2264675,Alison Glacer,A
-216425,-2265425,Alison Glacer,A
-216425,-2268425,Alison Glacer,A
-216425,-2269175,Alison Glacer,A
-216425,-2269925,Alison Glacer,A
-216425,-2270675,Alison Glacer,A
-216425,-2271425,Alison Glacer,A
-216425,-2272175,Alison Glacer,A
-216425,-2272925,Alison Glacer,A
-216425,-2273675,Alison Glacer,A
-216425,-2274425,Alison Glacer,A
-216425,-2284175,Alison Glacer,A
-216425,-2284925,Alison Glacer,A
-216425,-2285675,Alison Glacer,A
-216425,-2286425,Alison Glacer,A
-216425,-2292425,Alison Glacer,A
-216425,-2293175,Alison Glacer,A
-216425,-2293925,Alison Glacer,A
-216425,-2294675,Alison Glacer,A
-216425,-2295425,Alison Glacer,A
-216425,-2296175,Alison Glacer,A
-216425,-2296925,Alison Glacer,A
-216425,-2297675,Alison Glacer,A
-216425,-2298425,Alison Glacer,A
-216425,-2299175,Alison Glacer,A
-216425,-2299925,Alison Glacer,A
-216425,-2300675,Alison Glacer,A
-215675,-2252675,Alison Glacer,A
-215675,-2253425,Alison Glacer,A
